frequency_hz,level_db
2352.54,-85.57
2355.47,-81.34
2358.40,-75.62
2361.33,-76.60
2364.26,-75.53
2367.19,-73.60
2370.12,-77.07
2373.05,-76.57
2375.98,-72.40
2378.91,-73.04
2381.84,-75.27
2384.77,-71.81
2387.70,-71.12
2390.63,-74.87
2393.55,-73.80
2396.48,-72.14
2399.41,-71.31
2402.34,-72.62
2405.27,-72.21
2408.20,-71.23
2411.13,-72.87
2414.06,-74.88
2416.99,-72.45
2419.92,-71.63
2422.85,-74.00
2425.78,-73.31
2428.71,-70.17
2431.64,-69.64
2434.57,-70.53
2437.50,-69.89
2440.43,-68.84
2443.36,-68.70
2446.29,-69.44
2449.22,-69.07
2452.15,-68.35
2455.08,-70.41
2458.01,-71.58
2460.94,-69.84
2463.87,-71.32
2466.80,-75.04
2469.73,-75.05
2472.66,-77.77
2475.59,-85.15
2478.52,-84.38
2481.45,-79.37
2484.38,-77.45
2487.30,-74.80
2490.23,-72.77
2493.16,-74.44
2496.09,-76.93
2499.02,-72.62
2501.95,-70.51
2504.88,-72.82
2507.81,-73.79
2510.74,-69.25
2513.67,-69.74
2516.60,-74.91
2519.53,-71.85
2522.46,-70.40
2525.39,-74.78
2528.32,-79.18
2531.25,-73.89
2534.18,-74.40
2537.11,-79.23
2540.04,-80.89
2542.97,-75.48
2545.90,-75.59
2548.83,-80.98
2551.76,-77.27
2554.69,-75.07
2557.62,-78.54
2560.55,-76.38
2563.48,-74.64
2566.41,-78.92
2569.34,-75.74
2572.27,-72.89
2575.20,-77.45
2578.13,-79.15
2581.05,-75.70
2583.98,-79.60
2586.91,-79.81
2589.84,-75.88
2592.77,-78.15
2595.70,-75.67
2598.63,-76.41
2601.56,-80.50
2604.49,-77.20
2607.42,-77.19
2610.35,-81.48
2613.28,-79.18
2616.21,-79.21
2619.14,-81.12
2622.07,-80.43
2625.00,-81.11
2627.93,-80.01
2630.86,-77.92
2633.79,-77.99
2636.72,-78.91
2639.65,-75.69
2642.58,-74.55
2645.51,-81.02
2648.44,-78.34
2651.37,-73.65
